| Name | Title | Game Set | Puzzle Set | Total Levels | Solved Levels | Algorithm | Automator | iOS / Android |
| RunInALoop | Run in a Loop | 2 | 3 | 200 | All | | ⭕️ | ⭕️ |
| Sentinels | | 1 | 3 | 54 | All | | ⭕️ | ⭕️ |
| SheepAndWolves | Sheep & Wolves | 1 | 12 | 100 | All | ✗ | ⭕️ | ⭕️ |
| ShopAndGas | Shop & Gas | 1 | 10 | 36 | All | | ⭕️ | |
| Skyscrapers | | 1 | 1 | 30 | All | | ❌ | ⭕️ |
| SlantedMaze | Slanted Maze | 1 | 6 | 9 | All | | ❌ | |
| SlitherCorner | | 4 | 2 | 400 | Many | ✗ | ⭕️ | ⭕️ |
| SlitherLink | | 1 | 3 | 68 | All | | ⭕️ | ⭕️ |
| Snail | | 1 | 14 | 100 | All | | ⭕️ | ⭕️ |
| Snake | | 1 | 16 | 275 | Many | ✗ | ⭕️ | ⭕️ |
| SnakeIslands | Snake Islands | 3 | 3 | 300 | None | | | |
| SnakeMaze | Snake Maze | 2 | 7 | 200 | All | | ⭕️ | |
| Snakeomino | Snake-omino | 2 | 4 | 200 | Many | ✗ | ⭕️ | |
| Square100 | Square 100 | 1 | 10 | 40 | All | | ❌ | ⭕️ |
| Stacks | | 2 | 7 | 200 | All | | ⭕️ | ⭕️ |
| Steps | | 2 | 6 | 200 | All | | ⭕️ | ⭕️ |
| StraightAndBendLands | Straight and Bend Lands | 4 | 3 | 400 | All | | ⭕️ | ⭕️ |
| StraightAndTurn | Straight and Turn | 2 | 7 | 200 | All | | ⭕️ | ⭕️ |
| Sukrokuro | | 2 | 4 | 200 | A few | | | |
| Sumscrapers | | 1 | 6 | 20 | All | | ❌ | ⭕️ |
| SuspendedGravity | Suspended Gravity | 3 | 1 | 300 | A few | | ⭕️ | ⭕️ |
| Tapa | | 1 | 9 | 67 | All | | ⭕️ | ⭕️ |
| TapaIslands | Tapa Islands | 1 | 9 | 39 | Many | ✗ | ⭕️ | ⭕️ |
| TapAlike | Tap-Alike | 1 | 10 | 56 | All | ✗ | ⭕️ | ⭕️ |
| TapARow | Tap-A-Row | 1 | 10 | 50 | Many | ✗ | ⭕️ | ⭕️ |
| TapDifferently | Tap Differently | 1 | 10 | 40 | All | ✗ | ⭕️ | ⭕️ |
| Tatami | | 1 | 2 | 200 | Many | | ⭕️ | ⭕️ |
| Tatamino | | 1 | 13 | 170 | A few | ❌ | ⭕️ | ⭕️ |
| TennerGrid | Tenner Grid | 1 | 7 | 24 | All | | ⭕️ | ⭕️ |
| Tents | | 1 | 1 | 39 | All | | ❌ | ⭕️ |
| TetrominoPegs | Tetromino Pegs | 2 | 5 | 200 | All | | ⭕️ | |
| TheCityRises | The City Rises | 2 | 7 | 200 | All | | ⭕️ | ⭕️ |
| TheMagicNumber | The Magic Number | 4 | 3 | 400 | A few | | | |
| TheOddBrick | The Odd Brick | 1 | 14 | 160 | All | | ⭕️ | ⭕️ |
| Thermometers | | 1 | 14 | 100 | All | | ⭕️ | ⭕️ |
| TierraDelFuego | Tierra Del Fuego | 1 | 11 | 82 | All | | ⭕️ | ⭕️ |
| TopArrow | Top Arrow | 2 | 3 | 200 | A few | | | |
| TraceNumbers | Trace Numbers | 2 | 1 | 200 | All | | ⭕️ | ⭕️ |
| TrafficWarden | Traffic Warden | 4 | 2 | 400 | A few | | ⭕️ | ⭕️ |
| TrafficWardenRevenge | Traffic Warden Revenge | 4 | 3 | 400 | A few | | ⭕️ | |
| Trebuchet | | 2 | 6 | 200 | All | | ⭕️ | ⭕️ |
| TurnMeUp | Turn me up | 3 | 2 | 300 | A few | ✗ | ⭕️ | ⭕️ |
| TurnTwice | Turn Twice | 1 | 15 | 200 | All | | ⭕️ | ⭕️ |
| Underground | | 3 | 2 | 300 | All | | ⭕️ | ⭕️ |
| UnreliableHints | Unreliable hints | 2 | 5 | 200 | All | | ⭕️ | |
| Unseen | | 3 | 4 | 300 | All | ✗ | ⭕️ | ⭕️ |
| Venice | | 3 | 2 | 300 | All | | ⭕️ | ⭕️ |
| WallHints | Wall Hints | 2 | 4 | 200 | All | | ⭕️ | ⭕️ |
| Walls | | 1 | 5 | 111 | All | | ⭕️ | ⭕️ |
| WallSentinels | Wall Sentinels | 1 | 11 | 19 | All | | ❌ | ⭕️ |
| Warehouse | | 2 | 8 | 200 | All | | ⭕️ | ⭕️ |
| WildlifePark | Wildlife Park | 2 | 1 | 200 | All | | ⭕️ | |
| WishSandwich | Wish Sandwich | 2 | 3 | 200 | All | | ⭕️ | ⭕️ |
| Yalooniq | | 1 | 6 | 11 | All | | ❌ | |
| YouTurnMeOn | You Turn me on | 4 | 3 | 400 | A few | | ⭕️ | ⭕️ |
| ZenGardens | Zen Gardens | 2 | 3 | 200 | All | | ⭕️ | |
| ZenLandscaper | Zen Landscaper | 1 | 15 | 100 | All | | ⭕️ | ⭕️ |
| ZenSolitaire | Zen Solitaire | 2 | 2 | 200 | All | | ⭕️ | |
